"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500896,5122.43086148718,-1222.05364469708,63.3447129564302,0.422768201366547,1.90065200828883,0.964269777567663
"a_ber_sk",5343.35570923327,5345.48076026582,-28.7208662858029,2.25010206510342,0.181546859792373,2.74596224876581,0.993468194773631
"j_ak_sk",33920.4729018792,33923.0636228164,1.81551651480549,3.18144187430153,0.164853740135356,2.84241739244912,0.9949519655174
"a_ak_sk",20859.026188422,20859.2023714247,-1.56546723593783,-1.64763399465301,0.058658074162558,3.875750817317,0.999834924795497
"j_alt_sk",4006.63504490809,4055.62018517565,-410.41474323209,95.970280535119,0.375274119672079,2.01981930509942,0.970250898902419
"ej_atf",12509.6541213435,12521.3005270164,38.893833996568,21.2928113457165,0.20416620689764,2.62854164800374,0.991219964399071
"j_atf",45426.4307582603,45436.2729447202,0.973185657785507,17.6843729197572,0.14413335561216,2.97673709815417,0.996548263633005
"a_atf",29621.1325670882,29624.2969445417,2.59501595651091,4.32875490703736,0.0920198797306858,3.42547141208661,0.999172035406671
"j_kam",28079.3446311484,28097.3492900359,35.2044682704145,34.009317774995,0.19442288699286,2.67744043328077,0.99221876752796
"a_kam",7274.84501471268,7280.54764996714,126.286815882355,9.40527050891978,0.112650875777953,3.22318260864687,0.998380478280448
"j_turbot",11927.6487129486,11928.6265783825,4.1455259398499,-0.0442691322023165,0.111288314540108,3.23535178770738,0.998442712817082
"a_turbot",7764.86493878995,7780.10872313442,99.9504293486825,28.4875686889427,0.183959899994649,2.732758250776,0.993240593875647
"halibut",33478.8014067567,33479.3723674556,-0.508302125163027,-0.858078602366732,0.0834766547070376,3.52290904140309,0.999408691455667
"ej_fhs",26325.275539547,26326.4734551578,-0.0676312933501322,0.395831221729168,0.110611680244672,3.24145035831111,0.998473087612976
"j_fhs",59847.9231004673,59848.1624318197,-2.91558980406262,-1.52133729524212,0.0493717622575858,4.04809740328078,0.99991362492928
"a_fhs",52679.2838773257,52680.7073562555,1.32616322167451,0.846957859612303,0.0680553193891256,3.72715515494602,0.999714782469377
"j_berfl",13842.9414347899,13849.4153334445,-12.7849762618425,10.9477973091562,0.465803542215868,1.80371208781535,0.958991694212873
"a_berfl",15181.6285201284,15182.0718809798,-0.607532214475214,-1.11327829715447,3.06525803908857,-0.0804109839404795,0.828061013974587
"j_rex",9113.66957227018,9120.41090390473,-4.17515391678899,11.4826632691038,0.138829517065194,3.01422936538693,0.996908890552007
"a_rex",10563.9298223943,10574.5319980644,16.165197131937,19.2043513402095,0.132401727627212,3.06163535786038,0.997318277076829
"ej_yfs",14999.8601393415,14999.8618140264,-4.6413121841033,-1.99665063020075,0.000222622717411725,9.44975284031049,0.999999999999952
"j_yfs",67106.7924809353,67108.9427695572,13.1066884541651,2.30057724381913,3.52863785472431,-0.221191148787022,0.820294907120018
"a_yfs",65695.3101487996,65695.9232426499,-2.8005172983394,-0.77381229941966,0.1155184969378,3.19804538603469,0.998244833186854
"lhdab",13692.5245227195,13692.8728128041,5.63208935617877,-1.30341983076505,2.7180326707775e-07,16.1579080859879,1
"a_starry",8726.96832571043,8726.96795042678,-1.94611380546121,-2.00075056729838,0.00359186241281258,6.6688052038984,0.999999997304499
"ej_nrs",58549.8721795329,58551.1089601541,0.310416795575293,0.473561242426513,0.130411872276819,3.07677835940622,0.9974387608381
"j_nrs",57399.5317318854,57399.5324643244,-1.95291606942192,-1.9985351220821,0.000984847495630652,7.96274452638992,0.999999999984755
"a_nrs",34743.3192420095,34757.5787540227,27.9734832958347,26.5190240262164,13.460567533586,-1.56004371694438,0.778361642962771
"j_akplce",48856.9885890669,48873.1722735238,8.65408279953408,30.3673689138232,2.32775558962762,0.194816233755636,0.845330719735751
"a_akplce",5804.21682651589,5844.59769240196,1510.22775708494,78.7617317721379,4.05806502551492,-0.360985494465613,0.813401232520118
"a_yil",12597.8619643774,12607.6328569572,-17.9685363316676,17.5417851595848,0.923486328375962,1.11932005443315,0.913465305437609
"j_great",8564.94888909411,8565.00254851784,-4.31100303905259,-1.89268115253799,0.0929255566366098,3.41567734348601,0.999143926719242
"a_great",6573.05427790961,6573.47009193457,13.1523587791744,-1.16837195007975,0.0613316724534716,3.8311796608108,0.999805257006081
"a_bigmouth",16390.220227972,16390.4413248379,-1.03718130468042,-1.55780626834894,5.2492477971594e-05,10.8945614462032,0.999999999999997
"ej_pcod",63578.7370803112,63584.2234538467,9.38374375223066,8.97274707103497,0.137557460142322,3.02343432806379,0.996992335020902
"j_pcod",47067.3807609793,47067.3832573029,-1.99683510250179,-1.99500735278707,0.0044634440329328,6.45155537709327,0.999999993574631
"a_pcod",56922.0587514934,56930.6513006317,3.048553150933,15.1850982766191,0.220926229794954,2.54964720586132,0.989409013664383
"ej_poll",58532.8456319595,58537.5898597137,1.67275543004507,7.48845550839906,0.170504279079569,2.80871565617254,0.994468172864507
"j_poll",94551.2681152268,94551.2998474193,-1.94749661869719,-1.93653561506653,0.00247302599388025,7.04203355026634,0.999999999394075
"a_poll",23417.3864964374,23424.5865647795,-36.4078220290685,12.4001366840675,5.31056637692724,-0.629977721047423,0.802488181979429
"cap",48360.9541550864,48370.761458456,3.3530642168771,17.6146067392692,0.179293498767786,2.75845192883217,0.99367787095602
"tanner",69359.2381752246,69362.8223996862,-3.61733346106485,5.16844892309746,0.19947430394755,2.65179062405578,0.991706315400807
"snow",14428.5984361432,14452.9622939316,15.3248780304566,46.7277155769043,1.287710039728,0.786855292936845,0.888395402363189
"rking",6775.98724341665,6778.89847609123,7.25637151558476,3.82246534915612,0.448860500473544,1.84076389972224,0.961051175697045
"bking",NA,NA,NA,NA,NA,NA,NA
