"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",2577.10876167704,2577.10876142417,-1.99907458960115,-2.00000050573544,0.000925028945702462,8.02540629913006,0.999999999999996
"Tyrannus_verticalis",1604.24576440444,1604.24576422958,-1.99990352643545,-2.00000034971436,0.000882465697593823,8.07251141033425,0.999999999999998
"Contopus_sordidulus",1821.66098441708,1821.90369765681,-2.12702805670233,-1.5145735205524,17.7159379610025,-1.83474391335232,0.9464855882819
"Eremophila_alpestris",2278.86063226104,2281.17946387551,-5.20308464533537,2.63766322894298,9243.46004122203,-8.09195078703763,0.945158341909462
"Corvus_corax",2276.73974150403,2277.11536813365,-1.36918181134934,-1.24874674075727,2031.52987490789,-6.57682365031674,0.945158439950342
"Sturnus_vulgaris",2263.12634783669,2263.12634756001,-2.00037051791514,-2.00000055336022,0.00114018910208604,7.81628192214921,0.999999999999993
"Molothrus_ater",1891.3875102238,1891.39896006456,-1.97787278333726,-1.97710031848237,1.06182740843034,0.979729376829579,0.996579094222218
"Agelaius_phoeniceus",2561.65990177207,2561.6599014973,-1.99996377354182,-2.00000054954216,0.00274567296103856,6.93744984605879,0.999999999999701
"Sturnella_neglecta",2806.4902406238,2806.49024038013,-2.00014353561983,-2.00000048732909,0.00157861330410717,7.49092924377675,0.999999999999968
"Euphagus_cyanocephalus",2170.70489372305,2170.77006971904,-1.90663078521902,-1.86964800802707,1.45308513135123,0.666031797912197,0.992150657836435
"Spizella_passerina",1619.34998648927,1619.34998635749,-1.99898000691974,-2.00000026356702,0.00172791202477828,7.40056229232287,0.999999999999954
"Melospiza_melodia",1524.86472566651,1525.41705625843,-1.79874563494195,-0.895338816156254,3414.56930262489,-7.09608587392134,0.945158373399019
"Pipilo_maculatus",1695.64372443533,1697.22736590527,-2.78847370160838,1.1672829398849,6769.29786527998,-7.78043187702613,0.945158346211692
"Pheucticus_melanocephalus",1484.43041194843,1488.08963750612,-3.47492976803824,5.31845111538587,9023.33972456036,-8.06784903140007,0.945158342155202
"Piranga_ludoviciana",1712.13344623956,1712.13344604039,-2.0002001545281,-2.00000039834322,0.00190640411892437,7.30225724244479,0.99999999999993
"Petrochelidon_pyrrhonota",2148.66693923888,2149.31859931688,-0.634448296747905,-0.696679843986203,4.66879758442223,-0.50118079111899,0.960167204321785
"Hirundo_rustica",1629.73093204452,1629.88347800179,-1.66694269953678,-1.69490808545652,3.48029544466149,-0.207396417234075,0.967909661870791
"Vireo_gilvus",1720.43575561635,1720.48656496975,-2.08066859503197,-1.89838129320196,1724.0685339052,-6.41272143243884,0.945158479969539
"Troglodytes_aedon",1610.44936445841,1610.69483478274,-1.75597845779157,-1.50905935133233,1172.73759455033,-6.02737534822728,0.945158646071157
"Turdus_migratorius",2750.92930593655,2751.0512806867,-2.28901250608578,-1.75605049970363,4.45428113895068,-0.454144916557949,0.961277665699447
