"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5106.53036900704,5118.15314824653,21.2455584789786,0.733277498692891,1.34995184018847,0.937154012047641
"a_ber_sk",5343.63372569931,5343.63372518989,-2.00000101883779,6.12502321008442e-05,10.740263689985,0.999999999999996
"j_ak_sk",33922.651797109,33925.5555642973,3.80753437665408,0.157919489327263,2.88539070788538,0.995801685090261
"a_ak_sk",20854.9073967128,20854.9073951555,-2.00000311457552,9.53887644178064e-05,10.297270530684,0.999999999999999
"j_alt_sk",4018.07652637747,4057.54389035563,76.934727956308,0.364925902001656,2.04778172506316,0.97271651493877
"ej_atf",12511.2658034161,12514.3303375213,4.12906821043725,0.130923338853359,3.0728640975097,0.997615785143404
"j_atf",45425.4630528026,45436.5842996746,20.24249374395,0.143529210617517,2.98093747702734,0.996835007419488
"a_atf",29648.2549782544,29649.8004620614,1.09096761402907,0.0759421192371857,3.61750458867634,0.999629207534454
"j_kam",28097.5425148698,28102.1416699654,7.19831019101548,0.148754044854844,2.94518181346455,0.996476872079106
"a_kam",7273.70009385869,7274.87670274729,0.353217777206737,0.0744266749504624,3.63766163796066,0.999655476335536
"j_turbot",11928.648736947,11929.0931160603,-1.11124177348393,0.0813312900179083,3.54894523624318,0.999524858633557
"a_turbot",7754.00944354869,7759.62054633917,9.22220558094705,0.13504606204267,3.04186012926314,0.997373600638484
"halibut",33475.3743273241,33476.0858059985,-0.57704265115899,0.0887015037196395,3.46219920777942,0.999352805567453
"ej_fhs",26323.5855990106,26324.6343695048,0.0975409883976681,0.103588393814284,3.30705075509202,0.99889212292309
"j_fhs",59863.2169410084,59863.8048407929,-0.824200430914061,0.0629711033472849,3.80480010568223,0.999814318153175
"a_fhs",52696.1855073359,52697.737393467,1.10377226225683,0.0692493869907767,3.70976175691254,0.999735627175675
"j_berfl",13847.9135388417,13847.9135400268,-1.99999762992957,0.000128465414429048,9.99957160910793,1
"a_berfl",15181.0081872451,15181.9581204974,-0.100133495448972,3677.00416487019,-7.1701328431423,0.848155689251795
"j_rex",9112.73660777199,9119.60804471213,11.7428738802919,0.142590951434987,2.98749599802776,0.99689720929966
"a_rex",10564.7077244005,10574.3900218075,17.3645948140402,0.123719000320934,3.12946318221134,0.998007795756631
"ej_yfs",14998.9601131139,14998.9601095939,-2.0000070399692,0.00037954077909379,8.91626928294876,0.999999999999719
"j_yfs",67101.636375203,67105.5699507812,5.8671511564462,930.307604651475,-5.79579451830888,0.848155929747274
"a_yfs",65699.511470293,65699.5114711078,-1.99999837050564,0.00012841362365953,9.99997483990951,0.999999999999989
"lhdab",13694.2360896274,13694.2360884152,-2.0000024243127,0.000128394845591705,10.0001210817209,1
"a_starry",8727.64093687909,8727.64084289284,-2.00018797248777,0.00182582336226601,7.34544500712247,0.999999999849636
"ej_nrs",22290.9720947618,22290.9720842639,-2.00002099580888,0.000513019399989407,8.61491766760497,0.999999999999065
"j_nrs",58550.0814470279,58551.5286181186,0.894342181418324,0.117706557481764,3.17928132358386,0.998304382660498
"a_nrs",57396.7439091501,57396.8530853292,-1.78164764167741,0.0461251728781628,4.11611719943234,0.999943165393848
"j_akplce",34741.4929962393,34757.1113146782,29.2366368778457,492.253088331537,-5.15927222056829,0.848156590522786
"a_akplce",48855.6763720105,48869.39210091,25.4314577990153,4.6647866806285,-0.500321334788662,0.857225497138588
"a_yil",5843.92829248198,5843.92862446794,-1.99933602807869,0.00237399631958668,7.08290130393625,0.999999999570265
"j_great",12600.4810868712,12605.4452478655,7.92832198856195,0.939851960175816,1.10175367613539,0.922909768874088
"a_great",8565.49376871799,8565.08904618676,-2.80944506245578,1.48072307851365,0.647190235810404,0.897217889771025
"a_bigmouth",6584.35221364754,6584.35221927442,-1.99998874623998,0.000128571382185444,9.99874707531514,0.999999999999993
"ej_pcod",16389.320167996,16389.3201678363,-2.00000031950185,0.000179533780481657,9.6648679464834,0.999999999999984
"j_pcod",63565.4673688601,63568.6160093966,4.2972810730862,0.115615092473862,3.19720954437333,0.998401030875019
"a_pcod",47070.8799385298,47072.3559111839,0.951945308188442,0.0879201185754552,3.47104739105318,0.999372726138238
"ej_poll",56926.4895051573,56929.4303104347,3.88161055487581,0.159045132181018,2.87828803768459,0.995714758687531
"j_poll",58536.3414206071,58541.0480182251,7.41319523617858,0.166404386882782,2.8330551583042,0.995125681567008
"a_poll",94555.2411634405,94555.2411519348,-2.00002301143832,0.000193092405354292,9.59206247026077,0.999999999999979
"cap",23420.561823056,23424.8925864093,6.66152670657902,3219.26328179145,-7.03718704704638,0.848155694261635
"tanner",48365.8687828329,48371.5296403764,9.32171508701867,0.164246392192305,2.84610835804223,0.99530209702499
"snow",69364.4282390888,69369.2328108125,7.60914344736375,0.228325054313804,2.51670575936498,0.989011032875022
"rking",14429.7082411502,14453.2418197008,45.067157101148,1.30875688986423,0.770643023189483,0.903947642670781
"bking",6777.19056451563,6780.702333247,5.02353746274457,0.415437382072772,1.91814415188304,0.96687629173253
