"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850501093,5122.4308614875,63.3447129531341,0.427570866002428,1.88935600675657,0.964269853923918
"a_ber_sk",5343.35570923593,5345.48076026772,2.25010206358274,0.181919211498821,2.74391335415848,0.993468454121817
"j_ak_sk",33920.4729134243,33923.0636234468,3.18142004494439,0.165141220291435,2.84067506142423,0.994951402025244
"a_ak_sk",20859.0261884363,20859.2023715945,-1.64763368356216,0.0586721467081807,3.8755109380159,0.999834909583915
"j_alt_sk",4006.63504491417,4055.62018517615,95.9702805239649,0.378622160029077,2.01093728125134,0.970250818589718
"ej_atf",12509.6541213609,12521.3005270158,21.2928113099479,0.20469992176931,2.62593093932728,0.991219992937653
"j_atf",45426.4307646242,45436.273017025,17.6845048015093,0.14432348317259,2.97541885873392,0.996548081234814
"a_atf",29621.1325861686,29624.29696307,4.32875380280893,0.0920670377355607,3.42495906708616,0.999172083858295
"j_kam",28079.3446312077,28097.3492900395,34.0093176634255,0.194886190813625,2.6750602984938,0.99221853433963
"a_kam",7274.84501471129,7280.54764996621,9.40527050985111,0.112739741386326,3.22239406106583,0.998380505408326
"j_turbot",11927.6487129008,11928.6265783591,-0.0442690832351218,0.111385943843969,3.23447490763309,0.998442199943657
"a_turbot",7764.86493878471,7780.10872313401,28.4875686985979,0.184351916075136,2.73062953151468,0.993240434604511
"halibut",33614.6295192306,33479.3723674916,-272.51430347799,61925.7830994288,-9.99397112937113,0.832841349885748
"ej_fhs",26325.2755395301,26326.4734551308,0.395831201545661,0.110692086096705,3.2407237023043,0.998473277934231
"j_fhs",59847.9231002078,59848.1624318197,-1.52133677605889,0.0494018204329004,4.04748877543873,0.99991347534889
"a_fhs",52679.2838772595,52680.7073562353,0.846957951696822,0.0680826543302929,3.72675357791666,0.999714666279167
"j_berfl",13969.5951278897,13849.4153331925,-242.359589394437,0.000128411550568547,9.99999098389532,1
"a_berfl",15181.6493095625,15182.0718809841,-1.15485715690738,1818.57089075447,-6.46608547592022,0.832841423491231
"j_rex",9113.66957227871,9120.41090390482,11.4826632522163,0.138996790282779,3.01302520844877,0.996908907923877
"a_rex",10563.9298223883,10574.5319980649,19.2043513533208,0.132545984696401,3.06054641029273,0.997318340995438
"ej_yfs",14999.8618176105,14999.8618140283,-2.00000716446084,0.000379493709141269,8.91639330880875,0.999999999999654
"j_yfs",67107.1346153734,67108.942800264,1.61636978131719,929.655135288095,-5.79509292426494,0.832841631725736
"a_yfs",65695.9232416591,65695.9232432367,-1.99999684488284,0.000128415048766951,9.99996374218115,1
"lhdab",13692.8728138881,13692.8728127937,-2.00000218879723,0.000128395950680351,10.000112474803,0.999999999999994
"a_starry",8726.96804634301,8726.96795042559,-2.00019183484255,0.00182028054580092,7.34848541456817,0.999999999822118
"ej_nrs",22287.1021976669,22287.1019376107,-2.00052011245862,0.00287795202989304,6.89039710935783,0.999999998888811
"j_nrs",58549.8721807099,58551.1089592516,0.473557083430933,0.130583196747282,3.07546550322307,0.997436824259702
"a_nrs",57399.5324713688,57399.5324644765,-2.00001378465095,0.000328787727972949,9.05981899000196,0.999999999999814
"j_akplce",34744.3537025375,34757.5787539543,24.4501028335071,491.206615358271,-5.15714407365125,0.83284235956819
"a_akplce",48856.9885889129,48873.1722875853,30.3673973447294,4.09761643544495,-0.37068467660817,0.84533124132844
"a_yil",5844.59734502432,5844.59769240163,-1.99930524539377,0.00237178714669613,7.08383230850728,0.999999999487361
"j_great",12597.8619643823,12607.6328569438,17.541785122994,0.977106537454013,1.06288035822378,0.913460185959026
"a_great",8564.17753999244,8565.00254851736,-0.349982950159756,1.58093835235184,0.581702206192658,0.883148323212597
"a_bigmouth",6573.47008798602,6573.47009195646,-1.99999205912172,0.000128497345607397,9.99932308143404,0.999999999999998
"ej_pcod",16390.4413274179,16390.4413248766,-2.00000508250378,0.000179506329443154,9.66502085997578,0.999999999999984
"j_pcod",63578.7370804718,63584.2234538604,8.97274677726091,0.137720187567962,3.02225204940115,0.996992350667547
"a_pcod",47067.262174361,47067.3832572971,-1.7578341277258,0.044564568331777,4.15053693854732,0.999941574005799
"ej_poll",56922.0587514947,56930.6513005056,15.1850980218733,0.221604019900903,2.54658395476643,0.989408931079529
"j_poll",58532.8456318528,58537.5898656857,7.48846766585484,0.170817504376424,2.80688028907929,0.994467949165168
"a_poll",94551.2998599278,94551.2998475184,-2.00002481884439,0.000147102071022243,9.86410462228678,0.999999999999992
"cap",23420.2512366733,23424.5865778164,6.67068228626158,3219.34403214041,-7.03721213021889,0.832841373329954
"tanner",48360.9541551779,48370.7614584183,17.6146064808709,0.179633559094171,2.75655705676451,0.993679823442938
"snow",69359.2381755939,69362.8223994773,5.16844776680227,0.200000597037198,2.64915569809249,0.991703426059507
"rking",14428.598436966,14452.9622939077,46.7277138834106,1.44636657395389,0.670666170272879,0.888392399716148
"bking",6775.98724342991,6778.89847608968,3.82246531954297,0.454594991297788,1.82806915628704,0.961054320202335
