"","species","model","beta0","beta_j_1","beta_j_2","ln_tau","ln_kappa","ln_kappa2","ln_sigma_eta"
"1","j_ber_sk","diffusion",-3.09760423441297,6.08240924055934,-3.2084017027763,-3.47407851046638,1.77489338814386,1.92830177217536,0.495526243699398
"2","j_ber_sk","null",-7.28214872766321,0.578489138085158,-0.488420035102472,-2.54933200967203,0.00292273258158185,NA,0.448274919956479
"3","a_ber_sk","diffusion",-8.49437586068485,0.424220169101054,-0.525990252695626,-1.46670097138125,-1.30806389437463,3.00378903935994,0.274945109305411
"4","a_ber_sk","null",-8.62288503682944,0.243284852198177,-0.381836041689857,-1.47715333637898,-1.30381208019076,NA,0.274348833305943
"5","j_ak_sk","diffusion",-2.6411637714283,-0.98123974163482,-0.865471001815361,-0.730950672796461,-1.53896692164862,3.15597197036143,0.769049465809653
"6","j_ak_sk","null",-2.69552526207186,-0.956547660402633,-0.810791245589272,-0.737377113542543,-1.55787139392071,NA,0.769046849844962
"7","a_ak_sk","diffusion",-1.7469528677002,-0.315511208268639,-1.2261755269014,-0.776498099839552,-0.724134049405092,6.08578916756527,0.491342799539079
"8","a_ak_sk","null",-1.74731959815214,-0.316065495572628,-1.22521068817665,-0.776531812488576,-0.724071238642754,NA,0.491364628384146
"9","j_alt_sk","diffusion",-4.54032033915806,6.51146953010331,-1.60152871156735,-3.64389685984445,1.82228230078567,1.99402009957194,0.119657917861942
"10","j_alt_sk","null",-7.5586106010816,2.34747449558273,-0.403034096953407,-3.07864058374653,0.51673917174309,NA,0.104656343496773
"11","ej_atf","diffusion",-11.3213658555896,-7.18771451533887,-6.9168646713474,-1.66777479264272,-1.54078590737842,7.77426119371633,0.8169907247914
"12","ej_atf","null",-11.3193004805636,-7.18790543544985,-6.91694236010844,-1.66779882108581,-1.54054442482101,NA,0.816990750026071
"13","j_atf","diffusion",-5.51846650014151,0.352327977700514,-1.49760178722565,-1.48816047277337,-1.65584358547144,3.15213680258143,0.794119505862525
"14","j_atf","null",-5.8305786460664,0.0576184059410833,-1.17714778735275,-1.52261875539762,-1.63891305526094,NA,0.794003825853954
"15","a_atf","diffusion",-4.67531726726835,1.85720461202389,-1.34871418914514,-1.26435613368626,-1.53862229608433,3.60630375021282,0.6356906082231
"16","a_atf","null",-4.77466269617547,1.7262721418996,-1.24427476433621,-1.26847263331487,-1.55035005353816,NA,0.63566395426438
"17","j_kam","diffusion",-5.63391725193208,1.18506380540671,-0.746631418172391,-1.27264499635199,-1.54828870706399,2.93297906663566,0.736321159285485
"18","j_kam","null",-5.92167613692194,0.807180274961534,-0.505802451652117,-1.29947201127807,-1.54789754745066,NA,0.736887094667419
"19","a_kam","diffusion",-4.62862081901199,3.58304749433598,-0.759714972890778,-1.6368608465986,-0.230198308917834,5.90175252055643,0.425782489905542
"20","a_kam","null",-4.63066407865702,3.58124851356143,-0.759149290708986,-1.63641348409374,-0.231151623445424,NA,0.425788140409801
"21","j_turbot","diffusion",-6.54636460481232,3.77857556298535,-1.0378568789864,-1.57697276727083,-1.02208519131736,6.38054354327257,0.787145136739895
"22","j_turbot","null",-6.53539752911382,3.780967850012,-1.03896201903864,-1.57750875710497,-1.02227837100283,NA,0.787344147945885
"23","a_turbot","diffusion",-4.296794567076,4.15474449860474,-0.839166194538766,-2.18232924959332,0.136089841857184,3.26493679750196,0.30330581357944
"24","a_turbot","null",-4.50515659101099,3.54401012723744,-0.670554729218326,-2.20016910391479,0.11722888100386,NA,0.305292165957027
"25","halibut","diffusion",-0.374013860742261,-0.191309496051745,-0.405689438662232,-1.38837584876747,-0.359158156004533,3.38599660548369,0.0618535001200293
"26","halibut","null",-0.413352158864576,-0.196646209219099,-0.355725264108681,-1.38790492749567,-0.361045263170527,NA,0.0619023560583429
"27","ej_fhs","diffusion",-6.22821379097203,-2.56543638615892,-1.46473038544528,-2.32526766034019,-0.27918636659196,6.75292765567935,0.850736644854219
"28","ej_fhs","null",-6.25790337548919,-2.58242631349071,-1.44519272434003,-2.32485555644178,-0.284698608332731,NA,0.85067988404259
"29","j_fhs","diffusion",-2.95859392154166,-0.383886727650358,-1.36801456115,-2.31923354984661,-0.428219906227253,5.83348920940299,0.493748545903684
"30","j_fhs","null",-2.94705721953618,-0.387179369413862,-1.36516809966857,-2.31791226972409,-0.429885820678679,NA,0.493709716417013
"31","a_fhs","diffusion",-1.65508049227279,2.53392628048595,-1.8844231418108,-2.20317872855039,-0.323902176294357,3.65011553151205,0.506875154480771
"32","a_fhs","null",-1.86737185694035,2.25533279787947,-1.70751401311181,-2.19760184405443,-0.351362880791309,NA,0.507143281752361
"33","j_berfl","diffusion",-7.75616443976647,-19.7752901059925,-33.9382998700362,-1.89443393345273,-1.11840539427396,1.798344456483,0.659393812880157
"34","j_berfl","null",-7.06660110547179,-8.04152823957649,-14.4092369767396,-1.94980601235878,-1.06328924626474,NA,0.658897105392754
"35","a_berfl","diffusion",-11.3846088905031,-30.3314712798383,-42.8661013588533,-1.76888054592557,-1.16190385780345,1.62527347622871,0.626346791120611
"36","a_berfl","null",-9.49318021893866,-12.8881110570231,-18.4583315135351,-1.83228395845903,-1.12957998845411,NA,0.625268814342263
"37","j_rex","diffusion",-6.06411816703225,2.44307572740112,-2.03331226212014,-2.65597655471342,0.045769902956756,3.12357028455457,0.66950217482166
"38","j_rex","null",-6.90603063985935,1.4489092576486,-1.44658465018599,-2.6309360177116,-0.0790829274481091,NA,0.670565127706022
"39","a_rex","diffusion",-4.19241325621442,5.66920687989943,-3.07463987029011,-2.68635763736773,0.104696697591751,3.07174378143613,0.543813001298321
"40","a_rex","null",-5.40747265812842,3.99251939638843,-2.23851658601336,-2.64980721441251,-0.0985852761135987,NA,0.549154949636577
"41","ej_yfs","diffusion",-10.4600695425302,-17.9450217947196,-12.2999913645699,-1.98888673991602,-0.910273392490214,8.91518534818564,0.943681660868422
"42","ej_yfs","null",-10.6676736250926,-17.8038398667676,-12.1887335295285,-1.98599637701342,-0.925851527641109,NA,0.943948531129232
"43","j_yfs","diffusion",-2.2728743733254,-19.1269023760191,-8.06232063634073,-1.80501071633113,-0.555247506780384,-5.792127406101,0.296005356715008
"44","j_yfs","null",-1.15478149462079,-6.69845591517431,-5.44114213557394,-1.73918778094643,-1.15129899433795,NA,0.296872123857598
"45","a_yfs","diffusion",-1.51297980916645,-8.01766054329893,-7.83188237183703,-1.72942856530569,-0.935785183461674,2.938339649772,0.255175987804604
"46","a_yfs","null",-1.54464995711373,-7.67952839589732,-7.71232864412709,-1.73064079828194,-0.98820379690667,NA,0.255208021661488
"47","lhdab","diffusion",-9.12902172535432,-6.7088303571689,-0.915456272431309,-1.99950160380628,-0.779886394354384,8.45277222496049,0.845178518485571
