"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",2577.10876167704,2577.10876142417,-1.99907458960661,-2.00000050574454,0.000925028946013451,8.02540629879387,0.999999999999996
"Tyrannus_verticalis",1604.24576440444,1604.24576422958,-1.99990352642089,-2.00000034970981,0.000882465697432733,8.0725114105168,0.999999999999998
"Contopus_sordidulus",1821.66098441708,1821.90369765681,-2.12702805670142,-1.51457352055149,17.7159379610292,-1.83474391335383,0.946485588281898
"Eremophila_alpestris",2278.86063226104,2281.17946387551,-5.20308464534992,2.63766322894116,9243.46013131064,-8.09195079678383,0.945158341909462
"Corvus_corax",2276.73974150403,2277.11536813365,-1.36918181134752,-1.24874674075909,2031.52987488638,-6.57682365030616,0.945158439950342
"Sturnus_vulgaris",2263.12634783669,2263.12634756001,-2.0003705179397,-2.00000055336932,0.00114018914991166,7.81628188020387,0.999999999999992
"Molothrus_ater",1891.3875102238,1891.39896006456,-1.97787278333635,-1.97710031848237,1.06182740843092,0.979729376829031,0.996579094222214
"Agelaius_phoeniceus",2561.65990177207,2561.6599014973,-1.9999637735491,-2.00000054955126,0.0027456729612693,6.93744984597475,0.999999999999701
"Sturnella_neglecta",2806.49024062382,2806.49024038013,-2.00014353883307,-2.00000048737638,0.0015787050206698,7.49087114601579,0.999999999999967
"Euphagus_cyanocephalus",2170.70489372305,2170.77006971904,-1.90663078522903,-1.86964800803435,1.45308513134651,0.666031797915446,0.992150657836496
"Spizella_passerina",1619.34998648927,1619.34998635749,-1.99898000695521,-2.00000026357066,0.00172791202419024,7.40056229266319,0.999999999999954
"Melospiza_melodia",1524.86472566651,1525.41705625843,-1.79874563494195,-0.895338816153526,3414.56930251187,-7.09608587388824,0.945158373399019
"Pipilo_maculatus",1695.64372443533,1697.22736590527,-2.78847370160929,1.1672829398849,6769.29786543608,-7.78043187704919,0.945158346211692
"Pheucticus_melanocephalus",1484.43041194843,1488.08963750612,-3.47492976804733,5.31845111538587,9023.33972435373,-8.06784903137717,0.945158342155201
"Piranga_ludoviciana",1712.13344623956,1712.13344604039,-2.00020015453447,-2.00000039834777,0.00190640411878857,7.30225724251603,0.99999999999993
"Petrochelidon_pyrrhonota",2148.66693923888,2149.31859931689,-0.634448116450585,-0.696679843993479,4.66879751693807,-0.501180776664698,0.960167204654792
"Hirundo_rustica",1629.73093204452,1629.8834780018,-1.66694269953314,-1.69490808545652,3.48029544466185,-0.207396417234178,0.967909661870788
"Vireo_gilvus",1720.43575561635,1720.48656496975,-2.08066859502924,-1.89838129320015,1724.06853614935,-6.4127214337405,0.945158479969539
"Troglodytes_aedon",1610.44936445841,1610.69483478274,-1.75597845779521,-1.50905935133414,1172.73759322292,-6.0273753470954,0.945158646071158
"Turdus_migratorius",2750.92930593655,2751.05128068669,-2.28901250609124,-1.75605049970909,4.45428113894922,-0.454144916557622,0.961277665699455
