"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500748,5122.43086148709,63.3447129592241,0.427569606409314,1.88935895268921,0.964270005368331
"a_ber_sk",5343.35570925142,5345.48076026582,2.25010202881094,0.181924339878251,2.74388516413334,0.993467976719265
"j_ak_sk",33920.4729020117,33923.0636228165,3.18144160967495,0.165134381027093,2.84071647692278,0.994951972728317
"a_ak_sk",20859.0261884446,20859.2023714249,-1.64763403937104,0.0586694305849713,3.87555723231793,0.999834937995627
"j_alt_sk",4006.63504490677,4055.6201851757,95.970280537862,0.378621321299609,2.01093949646874,0.970250922499544
"ej_atf",12509.6541214869,12521.3005270159,21.2928110580033,0.204693495181343,2.62596233498584,0.991220660434224
"j_atf",45426.4307582542,45436.27294472,17.6843729315733,0.14432261883743,2.97542484762588,0.996548141423879
"a_atf",29621.1325670847,29624.2969445415,4.32875491364393,0.0920669632471238,3.42495987615386,0.999172086142125
"j_kam",28079.344631147,28097.3492900353,34.009317776552,0.194883617853478,2.67507350095376,0.992218790478644
"a_kam",7274.84501471213,7280.54764996705,9.40527050983655,0.112740008820312,3.22239168893276,0.998380493082725
"j_turbot",11927.6487129033,11928.6265783826,-0.044269041485677,0.11138589826859,3.23447531679951,0.998442201997042
"a_turbot",7764.86493880812,7780.10872313442,28.4875686525993,0.184350470405232,2.73063737344875,0.993240571028459
"halibut",33478.8014067577,33479.3723674555,-0.858078604287584,0.0835113898534894,3.52249302183661,0.999408732115881
"ej_fhs",26325.2755395076,26326.4734551576,0.395831300076679,0.110698836361393,3.24066272180324,0.998472977357598
"j_fhs",59847.9231005019,59848.1624318197,-1.52133736445103,0.0493790034605854,4.04795074714176,0.99991362680139
"a_fhs",52679.2838772429,52680.7073562556,0.846958025475033,0.0680821620936237,3.72676080792926,0.999714673779511
"j_berfl",13842.9414347137,13849.4153331995,10.9477969714935,0.472238808031249,1.7899912429669,0.958993186223177
"a_berfl",15175.1290587603,15182.0718810234,11.8856445261117,0.540202453763378,1.65553206614994,0.951358723180331
"j_rex",9113.66957226929,9120.41090390473,11.4826632708864,0.13899748072348,3.01302024114712,0.99690886247464
"a_rex",10563.9298223939,10574.5319980644,19.2043513410681,0.132544959844087,3.06055414237363,0.997318403607996
"ej_yfs",14999.8618162055,14999.8618140264,-2.00000435834227,0.000295063910745464,9.16803934933406,0.999999999999866
"j_yfs",67107.1351829746,67108.9427695588,1.61517316839308,145.362204754597,-3.93950782067973,0.832852878627613
"a_yfs",65695.3101488182,65695.9232426503,-0.773812335770344,0.115607589121951,3.19727444589477,0.998245189256962
"lhdab",13692.8722926062,13692.8728128028,-1.99895960681897,3.22519038929509e-07,15.9868244378527,1
"a_starry",8726.9681217414,8726.96795042621,-2.00034263037378,0.0024306192799064,7.05932997723965,0.999999999434582
"ej_nrs",22287.1019394228,22287.1019376052,-2.00000363517029,0.000240837834945846,9.37110750584374,0.999999999999943
"j_nrs",58549.8721795657,58551.1089601545,0.473561177699594,0.130560527634063,3.07563911729961,0.997438175905665
"a_nrs",57399.5324711583,57399.5324643243,-2.00001366800279,0.00146156431395927,7.56796873977514,0.999999999926063
"j_akplce",34744.3536655146,34757.5787540229,24.4501770166971,1879.56059106525,-6.49907252950861,0.832841418787842
"a_akplce",48856.9885891857,48873.1722735238,30.3673686762486,4.09733580195286,-0.370616187254219,0.845332723406144
"a_yil",5805.24631820547,5844.59769240114,76.7027483913334,8051.08322381334,-7.95384115248443,0.832841353580919
"j_great",12597.8619643645,12607.6328569568,17.5417851844832,0.977072252666996,1.06291544691391,0.913462507659724
"a_great",8564.17753998855,8565.00254851783,-0.349982941450435,1.58098426294898,0.581673166521088,0.883146649001052
"a_bigmouth",6573.05427791392,6573.47009193432,-1.1683719592038,0.0613485244409198,3.83090493044713,0.999805228525261
"ej_pcod",16390.4384046695,16390.4413248381,-1.99415966273227,1.02405491000476e-05,12.528876087579,0.999999999999999
"j_pcod",63578.7370802095,63584.2234538465,8.97274727394688,0.13772484498069,3.02221823203522,0.996992048397059
"a_pcod",47067.2621743196,47067.3832573029,-1.75783403345849,0.0445738374531413,4.15032896710524,0.999941527475749
"ej_poll",56922.0587515548,56930.6513006316,15.1850981536554,0.221602423413113,2.54659115902897,0.989409106977031
"j_poll",58532.8456320766,58537.5898597137,7.48845527425874,0.170815484477931,2.80689211404093,0.994468124627882
"a_poll",94551.3063892097,94551.2998474192,-2.01308358102688,0.00374153258450773,6.62798074037937,0.999999996826526
"cap",23420.2512348925,23424.5865647797,6.67065977423044,4822.39360768413,-7.44130491204479,0.832841360298822
"tanner",48360.9541548958,48370.761458456,17.614607120413,0.179653820828435,2.75644426830926,0.993677962094515
"snow",69359.2381747464,69362.8223996864,5.16844988008961,0.200035116925989,2.64898311405725,0.991699909568072
"rking",14428.5984361421,14452.9622939317,46.7277155792763,1.44634596788566,0.67068041715565,0.888393257047638
"bking",6775.98724340459,6778.89847609146,3.82246537374158,0.45461242887961,1.82803079852304,0.961052267830345
