par,est,iter,ln_sigma_eta,ln_kappa2,Estimation model,Operating model
beta[j1],-0.9256531763470106,156,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-2.19054735012265,156,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.542571204012617,156,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.16564441014665968,156,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8911802571950768,157,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.0438552670893981,157,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.815041686817748,157,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.366118572593785,157,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.10690498177918359,157,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.0320230876549537,158,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7338305422532825,158,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.2242663796279523,158,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6917571910617677,158,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.18260495134880983,158,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8407687840929543,159,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7959961829630272,159,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8071685250512611,159,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.5851455156856376,159,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.14246598686600306,159,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7468641787632417,160,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.2426216360628648,160,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.3730708557349394,160,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-3.291956083964212,160,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.18543224465708966,160,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.3209440941178276,161,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.9718907276836553,161,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.682283552806012,161,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.485556503418798,161,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.11599482738682684,161,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6048060727078638,162,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.2733479820493758,162,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7253688876893376,162,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-3.0973920385464564,162,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3104841412289756,162,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5553068956412901,163,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.3714608530707149,163,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8713610990606104,163,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.594641281618578,163,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.15080722420198625,163,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5111349954119353,164,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.3908532917697374,164,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.0911300858542308,164,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.0958943798774503,164,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.26159830994096966,164,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5805443519275832,165,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.87532071157106806,165,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.3864617708385802,165,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.7276478164504403,165,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.5185939820235019,165,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.3737780835417117,166,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6307854795648075,166,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8685916847744374,166,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-3.170946227968068,166,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.143741594986988,166,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.174078139504184,167,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6854430258947928,167,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.5908242676675326,167,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.5536965902807287,167,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.28086945365336075,167,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6321217886033437,168,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.272618939339787,168,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8329790845451801,168,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.373887139903414,168,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.35166531517422106,168,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.2260725339572105,169,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.8352428262543472,169,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.699755975871144,169,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6104214592429154,169,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.16278996980535934,169,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6505324726695146,170,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.003118564877919,170,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.078602465175253,170,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.591881357296076,170,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1495371184404686,170,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5718900379094073,171,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1617953994658028,171,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6334838463858675,171,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4075387505149424,171,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.15127082508684395,171,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8243605901823621,172,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7867683187364516,172,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7851547081821931,172,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6316568177127824,172,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3066880015594895,172,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7934912269586966,173,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6063980073758203,173,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.9798116107623221,173,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4421416513923466,173,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.26575035485831333,173,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8282045152976321,174,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.2561414698477207,174,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7507391900027163,174,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4512207422520937,174,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.16896365715977854,174,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.9819646592503479,175,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7630624129289787,175,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6519034427473154,175,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.425937047502772,175,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.11526618287140586,175,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5664433449357373,176,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.208227077672535,176,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.725900167608714,176,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.8185353387458116,176,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.21495609161969256,176,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.25992309656658,177,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1885506374132633,177,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8403155747708906,177,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.2338696840544956,177,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1589592434991495,177,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8729898874397415,178,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.3160579240264318,178,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.4582045668260566,178,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.8167068097402197,178,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.15471301583214114,178,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7481954313821813,179,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1379816971517613,179,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.72373871131002665,179,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.5657571260209853,179,0.25,3,Null,Operating model = Diffusion
beta[j1],0.03766399344729435,179,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8907652157160922,180,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.2231187416082037,180,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.7112440552836417,180,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6094054222863416,180,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.33352416157937204,180,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.0084692817463252,181,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.8623928243210305,181,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.9679208677385581,181,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.343571631671731,181,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.15332770660174289,181,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6097491328608442,182,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6963315374179442,182,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7770685248007644,182,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.64143254804282,182,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.14149092161549467,182,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7608112218822087,183,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.0640695618388085,183,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.811410659730873,183,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4108590559690186,183,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.13079937081453072,183,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7276823428801874,184,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.7710469064100838,184,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8972280585338916,184,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.2733421466486567,184,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3256768185049319,184,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-2.1967549426068294,185,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.15484181463539,185,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7345021014366165,185,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6340049011406133,185,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.23999782350808532,185,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.5984712968523528,186,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.257215068615751,186,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.1533178157526631,186,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6401424300556546,186,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.10028074100943866,186,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.3743921461691202,187,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.8847793888151642,187,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7163128919896823,187,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.9434617221903028,187,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.241424083208095,187,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8387367873266455,188,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7040670499233629,188,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7274968551258113,188,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.45588020652901,188,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.4892518099365414,188,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8105858220945437,189,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.8186514556414863,189,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8092594417644657,189,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6033377064227166,189,0.25,3,Null,Operating model = Diffusion
beta[j1],-1.6334343113967276,189,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6403842526104668,190,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.631405150045443,190,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.6547663917102107,190,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.3534294162689284,190,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1949760382994304,190,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6103941185063638,191,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1621647203263525,191,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7936439731730862,191,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.7289264518956577,191,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.25663495039898704,191,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.824025257540155,192,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1012606491143413,192,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7882529162762644,192,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4142031996710323,192,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3014209655693346,192,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.9160946055463977,193,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.4310528061101773,193,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6353428046601546,193,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.3566067038715914,193,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1539597176861816,193,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7910572369139953,194,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.9087419134978776,194,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.1737761619791536,194,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.465246038627904,194,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.166040557632196,194,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.1223588742930088,195,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.1505785998256886,195,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.80796938205745,195,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.5683294621583532,195,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.21866288546163778,195,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7891413176100494,196,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.5876288081405104,196,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.490567501018867,196,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.5686190159179447,196,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1157953042820161,196,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.9469891956186334,197,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6223485539252261,197,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.0457180801115102,197,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.196169398640006,197,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3167145866271458,197,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.2659760226574306,198,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.437971747782649,198,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8258380876357139,198,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.870437107809805,198,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.12967916555317338,198,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.5863361080891696,199,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.4849013430522278,199,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8841695177085667,199,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.2224451872791655,199,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.175996959257192,199,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6765968140139399,200,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6308519638147144,200,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.4954371596424043,200,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.3427551073363597,200,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.08441693753362002,200,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-2.7242561727541856,1,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.547915289364147,1,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.4293982580634794,1,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.7136408130315675,1,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.886636546473021,1,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.4219225927069539,1,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.7690881520117334,1,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,3.0858286162745063,1,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-5.009688126208067,1,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,-0.2930201540368561,1,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-3.1535340223485244,2,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3484183867412707,2,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.45131610627966,2,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.6581217155823504,2,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.806004879457732,2,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.367773204158549,2,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.910298018730361,2,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.7304572730004972,2,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-3.078523513531898,2,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.51891812737613,2,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.951423281268912,3,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.276525307285673,3,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.0881149061699067,3,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.6578266052955013,3,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.140932481014035,3,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3988566034636112,3,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.795094106304342,3,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,3.0367519167155157,3,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-1.9406967617002828,3,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.7696684756989287,3,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.6109555001595006,4,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5117963381721242,4,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-1.9118267258362014,4,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.801008644040554,4,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.9838354275732577,4,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3594771306607656,4,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.776284022023548,4,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,3.244884582352828,4,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-5.719517659897057,4,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,-0.1904812329545506,4,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-3.616303827900817,5,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.1770084515187687,5,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.9917944182409606,5,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5993720926245236,5,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.6869322253021957,5,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.595952152971428,5,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.7167109602209263,5,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.944456507509075,5,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-5.674932191027863,5,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,-4.721839480028074,5,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.8782736333970016,6,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3729239001821634,6,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.6448790332469883,6,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.8231875364063646,6,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.8664373178537517,6,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.4590928098544693,6,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.3315501659208446,6,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.88175113085091,6,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-2.0948369789489165,6,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.241132865750937,6,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.714759565845417,7,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.6508375900941936,7,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.101657570339558,7,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.470196892032511,7,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.4778113713521663,7,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5946070441872384,7,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.0708495750467137,7,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.853435973648982,7,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-3.1225307794428763,7,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.553387819460793,7,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-3.417409135285733,8,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3718894291282757,8,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.178186667921775,8,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3533244522031391,8,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.5945480089456305,8,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.356827241201785,8,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.1851421143107572,8,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.6407037627512784,8,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-3.5008340828898334,8,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.18715617946087473,8,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.20025447834929,9,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.593642226587005,9,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.2840803072726263,9,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3566812114597826,9,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.8168825582541164,9,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.547218512661297,9,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.027442589611622,9,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.794136163901986,9,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-1.3323012746868375,9,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5011127304581504,9,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-2.66307198205115,10,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5995677455552468,10,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.7482610474756894,10,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5214533418570724,10,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.2968980233077727,10,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.8120753068117514,10,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.8499094367255475,10,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.8390632362442925,10,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-3.2462957385829747,10,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.42027589648856634,10,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-3.027722318062266,11,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3601428596924212,11,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.474571611230444,11,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.6702087841257034,11,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.7440704832834255,11,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.6040994491889278,11,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.6350881099009604,11,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,2.8210980902590497,11,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-3.0067834223730876,11,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.6123447978172654,11,0.25,0.5,Diffusion,Operating model = Diffusion
beta[j1],-3.6115311037533107,12,0.25,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.3671181132125287,12,0.25,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.8804416295779776,12,0.1,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.5398738765057303,12,0.1,1.5,Diffusion,Operating model = Diffusion
beta[j1],-3.258809790309128,12,0.5,1.5,Diffusion,Operating model = Diffusion
ln_kappa2,1.2556285165840435,12,0.5,1.5,Diffusion,Operating model = Diffusion
beta[j1],-2.9416608176896704,12,0.25,3,Diffusion,Operating model = Diffusion
ln_kappa2,3.5550338306856557,12,0.25,3,Diffusion,Operating model = Diffusion
beta[j1],-4.447496530119073,12,0.25,0.5,Diffusion,Operating model = Diffusion
ln_kappa2,0.3357336945416401,12,0.25,0.5,Diffusion,Operating model = Diffusion
