par,est,iter,ln_sigma_eta,Estimation model,Operating model
beta[j1],-2.4187182032343437,23,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4995439547906493,23,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4405815341283024,24,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4429235866563954,24,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.468874127870273,24,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.9571933015488074,25,0,Diffusion,Operating model = Diffusion
beta[j1],-2.459190844973838,25,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.458413048271856,25,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5159574516049394,26,0,Diffusion,Operating model = Diffusion
beta[j1],-1.8868263396882103,26,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6619655049772644,26,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4495536580070203,27,0,Diffusion,Operating model = Diffusion
beta[j1],-2.723508455488939,27,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.493791944552214,27,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5695415407119895,28,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5655889157190934,28,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.126021068882211,28,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-3.2642456333540206,29,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3745036373519355,29,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.1927295828059163,29,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.8088434365692114,30,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3931668855157113,30,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3442321100538557,30,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.545062043316876,31,0,Diffusion,Operating model = Diffusion
beta[j1],-2.24124367533932,31,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6158223809733605,31,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.636952814176978,32,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5062061003743743,32,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.786257002597065,32,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.425294932483611,33,0,Diffusion,Operating model = Diffusion
beta[j1],-2.7407559806891086,33,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.6763633672340064,33,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3183174614415263,34,0,Diffusion,Operating model = Diffusion
beta[j1],-2.568887215874217,34,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.760789851436885,34,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4185860251069142,35,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3939463220568573,35,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.8556451550046438,35,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.339712682132926,36,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2273797759080236,36,-2.30258509299405,Diffusion,Operating model = Diffusion
