Operating model,Estimation model,aic,index
Null,Null,1,30-0.5
Null,Diffusion,0,31-0.25
Null,Null,1,31-0.25
Null,Diffusion,0,31-0.1
Null,Null,1,31-0.1
Null,Diffusion,0,31-0.5
Null,Null,1,31-0.5
Null,Diffusion,0,32-0.25
Null,Null,1,32-0.25
Null,Diffusion,0,32-0.1
Null,Null,1,32-0.1
Null,Diffusion,1,32-0.5
Null,Null,0,32-0.5
Null,Diffusion,0,33-0.25
Null,Null,1,33-0.25
Null,Diffusion,1,33-0.1
Null,Null,0,33-0.1
Null,Diffusion,0,33-0.5
Null,Null,1,33-0.5
Null,Diffusion,0,34-0.25
Null,Null,1,34-0.25
Null,Diffusion,0,34-0.1
Null,Null,1,34-0.1
Null,Diffusion,0,34-0.5
Null,Null,1,34-0.5
Null,Diffusion,0,35-0.25
Null,Null,1,35-0.25
Null,Diffusion,0,35-0.1
Null,Null,1,35-0.1
Null,Diffusion,0,35-0.5
Null,Null,1,35-0.5
Null,Diffusion,0,36-0.25
Null,Null,1,36-0.25
Null,Diffusion,1,36-0.1
Null,Null,0,36-0.1
Null,Diffusion,0,36-0.5
Null,Null,1,36-0.5
Null,Diffusion,0,37-0.25
Null,Null,1,37-0.25
Null,Diffusion,0,37-0.1
Null,Null,1,37-0.1
Null,Diffusion,0,37-0.5
Null,Null,1,37-0.5
Null,Diffusion,0,38-0.25
Null,Null,1,38-0.25
Null,Diffusion,0,38-0.1
Null,Null,1,38-0.1
Null,Diffusion,0,38-0.5
Null,Null,1,38-0.5
Null,Diffusion,0,39-0.25
Null,Null,1,39-0.25
Null,Diffusion,0,39-0.1
Null,Null,1,39-0.1
Null,Diffusion,0,39-0.5
Null,Null,1,39-0.5
Null,Diffusion,0,40-0.25
Null,Null,1,40-0.25
Null,Diffusion,0,40-0.1
Null,Null,1,40-0.1
Null,Diffusion,0,40-0.5
Null,Null,1,40-0.5
Null,Diffusion,0,41-0.25
Null,Null,1,41-0.25
Null,Diffusion,0,41-0.1
Null,Null,1,41-0.1
Null,Diffusion,0,41-0.5
Null,Null,1,41-0.5
Null,Diffusion,0,42-0.25
