"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500891,5122.43086148695,-1222.05359494311,63.3447129560809,0.422768186634323,1.90065204313588,0.964269779400021
"a_ber_sk",5343.35570923322,5345.48076026577,-28.720866296193,2.25010206509614,0.181546859792343,2.74596224876598,0.993468194773634
"j_ak_sk",33920.4729018793,33923.0636228165,1.81551651550399,3.18144187435973,0.1648537401363,2.8424173924434,0.994951965517317
"a_ak_sk",20859.026188422,20859.2023714247,-1.56546684757632,-1.64763399469666,0.0586580741626366,3.87575081731566,0.999834924795496
"j_alt_sk",4006.63504490659,4055.62018517577,-410.395575307513,95.9702805383567,0.375273873987592,2.0198199597797,0.970250930161949
"ej_atf",12509.6541213434,12521.300527016,38.8937926010112,21.2928113451271,0.204166206846991,2.62854164825182,0.991219964404373
"j_atf",45426.4307582603,45436.2729447205,0.973185671609826,17.6843729204411,0.144133355611838,2.97673709815641,0.996548263633024
"a_atf",29621.1325671058,29624.2969445418,2.6254610526812,4.32875487190904,0.0920164057247392,3.4255091655757,0.999172142089545
"j_kam",28079.344631153,28097.3492900316,35.2063410641422,34.0093177571398,0.194424146647636,2.67743395435889,0.992218641235109
"a_kam",7274.84501471184,7280.54764996701,126.28240167709,9.4052705103386,0.11265066062256,3.22318451857964,0.998380488220318
"j_turbot",11927.6487129479,11928.6265783823,4.14552440514672,-0.0442691313219257,0.11128831449326,3.23535178812834,0.998442712819195
"a_turbot",7764.86493878457,7780.10872313433,99.9549163912598,28.4875686995147,0.183961491115447,2.73274960153279,0.993240442768224
"halibut",33478.8014067566,33479.3723674554,-0.508302117974381,-0.85807860235218,0.0834766547145133,3.52290904131354,0.999408691455489
"ej_fhs",26325.2755395274,26326.4734551577,-0.068316427161335,0.39583126056823,0.110612397834087,3.24144387086705,0.998473055585924
"j_fhs",59847.923100467,59848.1624318196,-2.91558980674017,-1.52133729474735,0.04937176226131,4.04809740320535,0.999913624929258
"a_fhs",52679.2838773257,52680.7073562555,1.32616322272224,0.846957859612303,0.0680553193891835,3.72715515494517,0.999714782469376
"j_berfl",13842.9414347126,13849.4153334147,-12.8225269671675,10.9477974041729,0.465788828961265,1.80374367513843,0.958993471678479
"a_berfl",15181.6285201287,15182.0718809848,-0.603857940252055,-1.11327828781941,3.06525530022121,-0.0804100904207335,0.828061065754305
"j_rex",9113.66957227028,9120.41090390463,-4.17539425032737,11.4826632687036,0.138829501843733,3.01422947502832,0.996908891557609
"a_rex",10563.9298223942,10574.5319980644,16.1651971818064,19.2043513404715,0.132401727628789,3.06163535784847,0.997318277076734
"ej_yfs",14999.8618580486,14999.8618140264,1.2802592763037,-2.00008804447134,0.000241197784849881,9.36961404786613,0.999999999999947
"j_yfs",67106.7924809359,67108.9427695581,13.1066867338959,2.30057724440121,3.52863785266816,-0.221191148204318,0.820294907150495
"a_yfs",65695.3101488004,65695.9232426502,-2.80051729278057,-0.773812300380087,0.115518496931325,3.19804538609074,0.998244833187163
"lhdab",13692.5509395806,13692.8728128028,3.5939394764282,-1.35625355574302,6.38358603364075e-06,13.0015013151137,1
"a_starry",8726.96832570544,8726.96795042666,-1.94606990681496,-2.00075055756315,0.00359185599698165,6.66880699011288,0.999999997304517
"j_nrs",58549.872179533,58551.1089601543,0.310416828724556,0.473561242542928,0.130411872291103,3.07677835929669,0.997438760837249
"a_nrs",57399.5326397803,57399.5324643244,-2.00316584887332,-2.00035091189784,0.00171937955451222,7.40551254819409,0.999999999858404
"j_akplce",34743.3192419382,34757.5787540234,27.9705132982344,26.5190241702658,13.4609179247972,-1.5600697475445,0.778360930375063
"a_akplce",48856.9885890669,48873.1722735238,8.65408279927215,30.3673689137358,2.3277555896239,0.194816233757232,0.84533071973586
"a_yil",5804.21682632854,5844.59769240376,1510.13659261982,78.7617321504295,4.05845838576957,-0.361082422727881,0.813396744969019
"j_great",12597.8619643774,12607.632856957,-17.9685363461031,17.541785159352,0.923486328377305,1.1193200544317,0.913465305437501
"a_great",8564.94888909395,8565.00254851787,-4.31100594876625,-1.89268115216692,0.092925557764809,3.41567733134511,0.99914392668385
"a_bigmouth",6573.05427790567,6573.47009193442,13.149816145582,-1.16837194250547,0.0613326824726629,3.83116319279624,0.999805245150012
"ej_pcod",16390.4713384609,16390.4413248375,-3.41126765277295,-2.06002724685823,0.000153130848555148,9.82393855358874,1
