"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.57354205283,5117.44680224392,53.7465203821848,0.406959622332148,1.93876207733002,0.960929589355399
"a_ber_sk",5341.10864570059,5342.13781599815,0.0583405951329041,0.14012298313289,3.00495556187576,0.996221593227914
"j_ak_sk",33924.8278941956,33926.0715838527,0.487379314188729,0.120368828583161,3.15691544927837,0.997594031249282
"a_ak_sk",20859.5584218713,20859.7026724078,-1.71149892712128,0.00356632339513465,6.67594084600886,0.999999996594887
"j_alt_sk",4015.05977042709,4048.29680495943,64.4740690646795,0.381562172473313,2.0032022439002,0.964644814937801
"ej_atf",12491.0629806095,12491.0625069641,-2.00094729074044,0.00266556066876639,6.96706163205518,0.999999998936978
"j_atf",45423.4561812748,45430.6669011105,12.4214396714378,0.120833471772221,3.15306271849495,0.997565529994192
"a_atf",29628.1572633339,29630.0988693969,1.88321212593291,0.0767666156763777,3.60670619588809,0.999452125801912
"j_kam",28077.5043067816,28087.5291516498,18.0496897364355,0.150367798671395,2.93439176580846,0.995384525052387
"a_kam",7250.27706214981,7250.27456959442,-2.00498511079059,0.00803299943630855,5.86391806280235,0.999999912604381
"j_turbot",11925.3701052173,11925.9872597889,-0.765690856693254,0.00414130315457706,6.52646553987806,0.99999999381004
"a_turbot",7742.60485003587,7748.7235339693,10.2373678668737,0.107964790796633,3.26567088699331,0.99828620494464
"halibut",33486.6284979287,33487.442765759,-0.371464339317754,0.095670922218894,3.38656164059556,0.998841717607996
"ej_fhs",26298.9467205884,26298.9417890283,-2.00986312024179,0.00465763959214379,6.4089672553028,0.999999990098708
"j_fhs",59789.0169811218,59790.7083698569,1.38277747010579,0.00291746187276486,6.87676203318993,0.999999998474637
"a_fhs",52668.4511227773,52670.6126166261,2.3229876976402,0.0734826375794716,3.65042689491696,0.999530072236347
"j_berfl",13840.7188965639,13847.3778132626,11.3178333972828,0.46201836064638,1.81187141787116,0.95309776362458
"a_berfl",15170.8739674587,15177.8346050598,11.9212752022213,0.546307590311122,1.64429388048227,0.941872575292066
"j_rex",9101.02010763982,9106.68130552908,9.32239577851578,0.124329839274923,3.1245380215877,0.997345142893576
"a_rex",10543.4213843606,10556.6909819984,24.5391952756981,0.130929601885587,3.07281626125312,0.996900877823094
"ej_yfs",14998.3159921659,14998.3194501484,-1.99308403490431,0.000160606056802435,9.77627681441341,0.999999999999988
"j_yfs",67104.3595987437,67107.5749929406,4.43078839374357,3.35092890462813,-0.169516821524308,0.814738186910789
"a_yfs",65690.3470238942,65691.9646385556,1.23522932283231,0.149560730042428,2.93977351845715,0.995453442163027
"lhdab",13696.9242006225,13689.3658290472,-17.1167431506692,0.00294155349694747,6.86853820770349,0.999999998423635
"a_starry",8726.38743322721,8726.37208732551,-2.03069180339662,0.000577802781618747,8.49599872662867,0.999999999997652
"ej_nrs",22287.0311284293,22287.0310783691,-2.00010012042185,0.00148184269785816,7.55418967037771,0.999999999898437
"j_nrs",58552.7732237746,58553.8157915212,0.0851354930491652,0.099586393482281,3.3464505061874,0.998678770939815
"a_nrs",57401.8057610816,57401.8205223774,-1.97047740843846,0.0229637032508563,4.81356119996315,0.999994311953588
"j_akplce",34740.7275879863,34755.4050356685,27.3548953643913,3.99945169511874,-0.346436504663855,0.806312355626307
"a_akplce",48854.0157064665,48870.2406231871,30.4498334411765,2.28428109672917,0.213669414495803,0.837055159756637
"a_yil",5803.84857637525,5844.15811866047,78.6190845704477,3.98392714448916,-0.342547281689411,0.80648348747179
"j_great",12599.9232198029,12608.3593564667,14.8722733275208,0.985973685583547,1.05384638362469,0.89796236514866
"a_great",8566.78877950912,8567.35424745655,-0.86906410514348,1.26987315193802,0.80080375572156,0.878667474715563
"a_bigmouth",6575.2274024187,6574.46658154087,-3.52164175566577,0.00313725010380753,6.80412939672507,0.999999997960533
"ej_pcod",16388.3154632237,16388.352270179,-1.92638608941343,0.0000696961173933896,10.6110867171317,1
"j_pcod",63514.3970584022,63514.7758852828,-1.24234623881057,0.0494425546447749,4.04666456638994,0.999889429929473
"a_pcod",46985.8902014873,46985.8841327984,-2.01213737794023,0.00544460459215425,6.25285091459478,0.99999998152014
"ej_poll",56922.7007189744,56923.589020894,-0.223396160785342,0.0780412852695878,3.59023806483337,0.999419743959111
"j_poll",58533.0457131639,58535.4282203027,2.76501427748008,0.111799083731105,3.23077268474193,0.998086411561124
"a_poll",94528.654559885,94528.6617831122,-1.9855535455863,0.00794924524934835,5.87439906285152,0.999999916186292
"cap",23416.3526393874,23423.8386533659,12.9720279570029,5.21887949479317,-0.612561951842805,0.796097956406432
"tanner",48320.1096159522,48320.9650781072,-0.289075689928723,0.0692177415891465,3.71021883871246,0.999619905054692
"snow",69356.914762968,69358.3600182018,0.890510467521381,0.114909855733291,3.20332809202897,0.997914995938562
"rking",14424.415817578,14449.5302049446,48.2287747331429,1.17150205446883,0.881434038167819,0.884779432897505
"bking",6774.59939162576,6778.05263166717,4.90648008282005,0.4888460657748,1.75542840382175,0.949417735207778
