"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500774,5122.43086148712,-1222.02977858268,63.3447129587585,0.427569606122229,1.88935895336065,0.964270005402851
"a_ber_sk",5343.35570925127,5345.48076026585,-28.7039716514264,2.25010202917474,0.181924339894738,2.74388516404272,0.993467976717732
"j_ak_sk",NA,NA,NA,NA,NA,NA,NA
"a_ak_sk",NA,NA,NA,NA,NA,NA,NA
"j_alt_sk",NA,NA,NA,NA,NA,NA,NA
"ej_atf",NA,NA,NA,NA,NA,NA,NA
"j_atf",NA,NA,NA,NA,NA,NA,NA
"a_atf",NA,NA,NA,NA,NA,NA,NA
"j_kam",NA,NA,NA,NA,NA,NA,NA
"a_kam",NA,NA,NA,NA,NA,NA,NA
"j_turbot",NA,NA,NA,NA,NA,NA,NA
"a_turbot",NA,NA,NA,NA,NA,NA,NA
"halibut",NA,NA,NA,NA,NA,NA,NA
"ej_fhs",NA,NA,NA,NA,NA,NA,NA
"j_fhs",NA,NA,NA,NA,NA,NA,NA
"a_fhs",NA,NA,NA,NA,NA,NA,NA
"j_berfl",NA,NA,NA,NA,NA,NA,NA
"a_berfl",NA,NA,NA,NA,NA,NA,NA
"j_rex",NA,NA,NA,NA,NA,NA,NA
"a_rex",NA,NA,NA,NA,NA,NA,NA
"ej_yfs",NA,NA,NA,NA,NA,NA,NA
"j_yfs",NA,NA,NA,NA,NA,NA,NA
"a_yfs",NA,NA,NA,NA,NA,NA,NA
"lhdab",NA,NA,NA,NA,NA,NA,NA
"a_starry",NA,NA,NA,NA,NA,NA,NA
"ej_nrs",NA,NA,NA,NA,NA,NA,NA
"j_nrs",NA,NA,NA,NA,NA,NA,NA
"a_nrs",NA,NA,NA,NA,NA,NA,NA
"j_akplce",NA,NA,NA,NA,NA,NA,NA
"a_akplce",NA,NA,NA,NA,NA,NA,NA
"a_yil",NA,NA,NA,NA,NA,NA,NA
"j_great",NA,NA,NA,NA,NA,NA,NA
"a_great",NA,NA,NA,NA,NA,NA,NA
"a_bigmouth",NA,NA,NA,NA,NA,NA,NA
"ej_pcod",NA,NA,NA,NA,NA,NA,NA
"j_pcod",NA,NA,NA,NA,NA,NA,NA
"a_pcod",NA,NA,NA,NA,NA,NA,NA
"ej_poll",NA,NA,NA,NA,NA,NA,NA
"j_poll",NA,NA,NA,NA,NA,NA,NA
"a_poll",NA,NA,NA,NA,NA,NA,NA
"cap",NA,NA,NA,NA,NA,NA,NA
"tanner",NA,NA,NA,NA,NA,NA,NA
"snow",NA,NA,NA,NA,NA,NA,NA
"rking",NA,NA,NA,NA,NA,NA,NA
"bking",NA,NA,NA,NA,NA,NA,NA
